name;location;category;subCategory;unit;type;ubp06;ipcc2007;metaData
3kWp flat roof installation, multi-Si, on roof;CH;photovoltaic;production of components;unit;Technosphere;8180100,00000 ;;All components for the installation of a 3kWp photovoltaic plant, energy use for the mounting, transport of materials and persons to the construction place. Disposal of components after end of life.
3kWp slanted-roof installation, single-Si, laminated, integrated, on roof;CH;photovoltaic;production of components;unit;Technosphere;8328600,00000 ;;All components for the installation of a 3kWp photovoltaic plant, energy use for the mounting, transport of materials and persons to the construction place. Disposal of components after end of life.
3kWp slanted-roof installation, single-Si, panel, mounted, on roof;CH;photovoltaic;production of components;unit;Technosphere;8831600,00000 ;;All components for the installation of a 3kWp photovoltaic plant, energy use for the mounting, transport of materials and persons to the construction place. Disposal of components after end of life.
3kWp slanted-roof installation, multi-Si, laminated, integrated, on roof;CH;photovoltaic;production of components;unit;Technosphere;7675500,00000 ;;All components for the installation of a 3kWp photovoltaic plant, energy use for the mounting, transport of materials and persons to the construction place. Disposal of components after end of life.
3kWp slanted-roof installation, multi-Si, panel, mounted, on roof;CH;photovoltaic;production of components;unit;Technosphere;8210500,00000 ;;All components for the installation of a 3kWp photovoltaic plant, energy use for the mounting, transport of materials and persons to the construction place. Disposal of components after end of life.
CZ single crystalline silicon, electronics, at plant;RER;photovoltaic;production of components;kg;Technosphere;202170,00000 ;248,75000 ;Gate to gate inventory for the Czochralski process. Crushing of Si, etching with HNO3, HF and acetic acid. Melting in a silica pot and crystallisation to produce a monocrystalline material. Water emissions roughly estimated. Process emissions to air are not known.
CZ single crystalline silicon, photovoltaics, at plant;RER;photovoltaic;production of components;kg;Technosphere;88777,00000 ;101,84000 ;Gate to gate inventory for an improved Czochralski process. Crushing of Si, etching with HNO3, HF and acetic acid. Melting in a silica pot and crystallisation to produce a monocrystalline material. Water emissions roughly estimated. Process emissions to air are not known.
electric installation, photovoltaic plant, at plant;CH;photovoltaic;production of components;unit;Technosphere;863950,00000 ;;Materials and packaging for the production and estimation for metal processing. Disposal of the product after use.
facade construction, integrated, on roof;CH;photovoltaic;production of components;unit;Technosphere;;;
facade construction, mounted, on roof;CH;photovoltaic;production of components;unit;Technosphere;;;
flat roof construction, on roof;CH;photovoltaic;production of components;unit;Technosphere;;;Materials and packaging for the production and estimation for metal processing. Disposal of the product after use. Energy use for the construction process must be included in data for the PV-plant.
inverter, 2500W, at plant;RER;photovoltaic;production of components;unit;Technosphere;622770,00000 ;;Materials, packaging and electricity use for the production of an inverse rectifier. Disposal of the product after use.
mc-Si wafer, at plant;RER;photovoltaic;production of components;unit;Technosphere;;;
pc-Si wafer, at plant;RER;photovoltaic;production of components;unit;Technosphere;;;
photovoltaic cell factory;DE;photovoltaic;production of components;unit;Technosphere;1612100000,00000 ;;Materials and land use for a new production plant.
photovoltaic cell, mc-Si, at plant;RER;photovoltaic;production of components;unit;Technosphere;;;
photovoltaic cell, pc-Si , at plant;RER;photovoltaic;production of components;unit;Technosphere;;;
photovoltaic laminate, mc-Si, at plant;RER;photovoltaic;production of components;unit;Technosphere;;;
photovoltaic laminate, pc-Si, at plant;RER;photovoltaic;production of components;unit;Technosphere;;;
photovoltaic panel factory;GLO;photovoltaic;production of components;unit;Technosphere;476460000,00000 ;;Materials and land use for a new production plant.
photovoltaic panel, mc-Si, at plant;RER;photovoltaic;production of components;unit;Technosphere;;;
photovoltaic panel, pc-Si, at plant;RER;photovoltaic;production of components;unit;Technosphere;;;
slanted-roof construction, integrated, on roof;CH;photovoltaic;production of components;unit;Technosphere;;;Materials and packaging for the production and estimation for metal processing. Disposal of the product after use. Energy use for the construction process must be included in data for the PV-plant.
slanted-roof construction, mounted, on roof;CH;photovoltaic;production of components;unit;Technosphere;;;Materials and packaging for the production and estimation for metal processing. Disposal of the product after use. Energy use for the construction process must be included in data for the PV-plant.
wafer factory;DE;photovoltaic;production of components;unit;Technosphere;173540000,00000 ;;Materials and land use for a new production plant.
butadiene, at plant;RER;plastics;monomers;kg;Technosphere;839,52000 ;1,17000 ;Aggregated data for all processes from raw material extraction until delivery at plant
butene, mixed, at plant;RER;plastics;monomers;kg;Technosphere;966,97000 ;1,53000 ;Aggregated data for all processes from raw material extraction until delivery at plant
epoxy resin insulator (Al2O3), at plant;RER;plastics;monomers;kg;Technosphere;4607,70000 ;3,41000 ;Only base materials and transports, direct impacts of processing are not known
epoxy resin insulator (SiO2), at plant;RER;plastics;monomers;kg;Technosphere;3346,20000 ;2,72000 ;Only base materials and transports, direct impacts of processing are not known
epoxy resin, liquid, at plant;RER;plastics;monomers;kg;Technosphere;8234,80000 ;6,73000 ;Aggregated data for all processes from raw material extraction until delivery at plant
epoxy resin, liquid, disaggregated data, at plant;RER;plastics;monomers;kg;Technosphere;17399,00000 ;13,00000 ;Disaggregated data for all processes from raw material extraction until delivery at plant
ethylene, average, at plant;RER;plastics;monomers;kg;Technosphere;933,22000 ;1,40000 ;Aggregated data for all processes from raw material extraction until delivery at plant
ethylene, pipeline system, at plant;RER;plastics;monomers;kg;Technosphere;926,46000 ;1,47000 ;Aggregated data for all processes from raw material extraction until delivery at plant
methyl methacrylate, at plant;RER;plastics;monomers;kg;Technosphere;4738,00000 ;6,70000 ;Aggregated data for all processes from raw material extraction until delivery at plant
methylene diphenyl diisocyanate, at plant;RER;plastics;monomers;kg;Technosphere;3617,70000 ;4,03000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polyols, at plant;RER;plastics;monomers;kg;Technosphere;4070,20000 ;3,68000 ;Aggregated data for all processes from raw material extraction until delivery at plant
propylene, at plant;RER;plastics;monomers;kg;Technosphere;948,01000 ;1,44000 ;Aggregated data for all processes from raw material extraction until delivery at plant
styrene, at plant;RER;plastics;monomers;kg;Technosphere;3154,70000 ;4,45000 ;Aggregated data for all processes from raw material extraction until delivery at plant
toluene diisocyanate, at plant;RER;plastics;monomers;kg;Technosphere;4560,20000 ;6,39000 ;Aggregated data for all processes from raw material extraction until delivery at plant
vinyl acetate, at plant;RER;plastics;monomers;kg;Technosphere;2001,50000 ;1,91000 ;Raw materials and chemicals used for production, transport of materials to manufacturing plant, estimated emissions to air and water from production (incomplete), estimation of energy demand and infrastructure of the plant (approximation). Solid wastes omitted.
vinyl chloride, at plant;RER;plastics;monomers;kg;Technosphere;1257,70000 ;1,60000 ;Aggregated data for all processes from raw material extraction until delivery at plant
bitumen sealing, at plant;RER;plastics;others;kg;Technosphere;1207,20000 ;1,00000 ;Raw materials and chemicals used for production, transport of materials to manufacturing plant, energy consumption and waste amounts from a company. Infrastructure of the plant as an approximation.
glass fibre reinforced plastic, polyamide, injection moulding, at plant;RER;plastics;others;kg;Technosphere;6565,80000 ;8,77000 ;Gate to gate inventory for the injection moulding of glass fibre with polyamide resin including material inputs, process and infrastructure.
glass fibre reinforced plastic, polyester resin, hand lay-up, at plant;RER;plastics;others;kg;Technosphere;6703,80000 ;4,71000 ;Gate to gate inventory for the hand lay-up moulding of glass fibre with polyester resin.
acrylonitrile-butadiene-styrene copolymer, ABS, at plant;RER;plastics;polymers;kg;Technosphere;3034,10000 ;4,39000 ;Aggregated data for all processes from raw material extraction until delivery at plant
ethylene vinyl acetate copolymer, at plant;RER;plastics;polymers;kg;Technosphere;1680,30000 ;2,01000 ;Raw materials and chemicals used for production, transport of materials to manufacturing plant, estimated emissions to air and water from production (incomplete), estimation of energy demand and infrastructure of the plant (approximation). Solid wastes omitted.
ethylvinylacetate, foil, at plant;RER;plastics;polymers;kg;Technosphere;2262,60000 ;2,59000 ;"This process contains the plastic amount and the transport of the plastic from the production site to the converting site as well as the dataset ""extrusion, plastic film"""
fleece, polyethylene, at plant;RER;plastics;polymers;kg;Technosphere;2082,80000 ;2,82000 ;Raw materials and chemicals used for production, transport of materials to manufacturing plant, energy consumption and waste amounts from a company. Infrastructure of the plant as an approximation.
nylon 6, at plant;RER;plastics;polymers;kg;Technosphere;5706,70000 ;9,28000 ;Aggregated data for all processes from raw material extraction until delivery at plant
nylon 6, glass-filled, at plant;RER;plastics;polymers;kg;Technosphere;5064,20000 ;7,33000 ;Aggregated data for all processes from raw material extraction until delivery at plant
nylon 66, at plant;RER;plastics;polymers;kg;Technosphere;5903,10000 ;8,02000 ;Aggregated data for all processes from raw material extraction until delivery at plant
nylon 66, glass-filled, at plant;RER;plastics;polymers;kg;Technosphere;4937,30000 ;7,04000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polybutadiene, at plant;RER;plastics;polymers;kg;Technosphere;2704,80000 ;3,92000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polycarbonate, at plant;RER;plastics;polymers;kg;Technosphere;5485,40000 ;7,79000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polyethylene terephthalate, granulate, amorphous, at plant;RER;plastics;polymers;kg;Technosphere;2236,50000 ;2,54000 ;Average data for the production of amorphous PET out of ethylene glycol and PTA. The data include material and energy input, waste as well as air and water emissions. Missing sum parameters to water (DOC, TOC), transport and infrastructure are estimated.
polyethylene terephthalate, granulate, bottle grade, at plant;RER;plastics;polymers;kg;Technosphere;2497,60000 ;2,68000 ;Average data for the production of bottle grade PET out of ethylene glycol, PTA and amorphous PET. The data include material and energy input, waste as well as air and water emissions. Missing sum parameters to water (DOC, TOC, COD), transport and infrastructure are estimated.
polyethylene, HDPE, granulate, at plant;RER;plastics;polymers;kg;Technosphere;1331,90000 ;1,95000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polyethylene, LDPE, granulate, at plant;RER;plastics;polymers;kg;Technosphere;1477,70000 ;2,10000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polyethylene, LLDPE, granulate, at plant;RER;plastics;polymers;kg;Technosphere;1283,20000 ;1,85000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polymethyl methacrylate, beads, at plant;RER;plastics;polymers;kg;Technosphere;5258,60000 ;7,13000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polymethyl methacrylate, sheet, at plant;RER;plastics;polymers;kg;Technosphere;6576,40000 ;8,40000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polypropylene, granulate, at plant;RER;plastics;polymers;kg;Technosphere;1353,90000 ;1,98000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polystyrene, expandable, at plant;RER;plastics;polymers;kg;Technosphere;2241,70000 ;3,38000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polystyrene, general purpose, GPPS, at plant;RER;plastics;polymers;kg;Technosphere;2219,00000 ;3,51000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polystyrene, high impact, HIPS, at plant;RER;plastics;polymers;kg;Technosphere;2254,50000 ;3,50000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polyurethane, flexible foam, at plant;RER;plastics;polymers;kg;Technosphere;4618,00000 ;4,78000 ;This dataset contains the transports of the monomers as well as the production (energy, air emissions) of the PUR foam
polyurethane, rigid foam, at plant;RER;plastics;polymers;kg;Technosphere;4304,10000 ;4,25000 ;This dataset contains the transports of the monomers as well as the production (energy, air emissions) of the PUR foam
polyvinylchloride, at regional storage;RER;plastics;polymers;kg;Technosphere;1605,50000 ;1,99000 ;This dataset establishs an average European PVC mix out of the two important PVC types (suspension, emulsion PVC). Furthermore, this dataset contains an average transport from the production site to a regional storage site.
polyvinylchloride, bulk polymerised, at plant;RER;plastics;polymers;kg;Technosphere;1580,80000 ;1,98000 ;Data represent a mix of the two other types of PVC (suspension, emulsion PVC), according to their production volumes, due to a lack of respective data from PlasticsEurope about bulk PVC.
polyvinylchloride, emulsion polymerised, at plant;RER;plastics;polymers;kg;Technosphere;2037,20000 ;2,49000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polyvinylchloride, suspension polymerised, at plant;RER;plastics;polymers;kg;Technosphere;1514,10000 ;1,90000 ;Aggregated data for all processes from raw material extraction until delivery at plant
polyvinylidenchloride, granulate, at plant;RER;plastics;polymers;kg;Technosphere;59441,00000 ;4,91000 ;Aggregated data for all processes from raw material extraction until delivery at plant
purified terephthalic acid, at plant;RER;plastics;polymers;kg;Technosphere;1449,80000 ;1,74000 ;Average data for the production of purified terephthalic acid out of acetic acid and xylene. The data include material and energy input, waste as well as air and water emissions. Missing sum parameters to water (DOC, TOC, COD), transport and infrastructure are estimated.
styrene-acrylonitrile copolymer, SAN, at plant;RER;plastics;polymers;kg;Technosphere;2565,60000 ;4,05000 ;Aggregated data for all processes from raw material extraction until delivery at plant
synthetic rubber, at plant;RER;plastics;polymers;kg;Technosphere;2421,30000 ;2,51000 ;Production of EPDM-rubber, production of EPDM elastomer, extrusion and vulcanisation of EPDM profiles. Also included are the transports of the raw materials to the polymerisation and elastomer production plant.
blow moulding;RER;plastics;processing;kg;Technosphere;1189,10000 ;1,21000 ;This process contains the auxillaries and energy demand for the mentioned convertion process of plastics. The converted amount of plastics is NOT included into the dataset.
calendering, rigid sheets;RER;plastics;processing;kg;Technosphere;373,59000 ;0,37000 ;This process contains the auxillaries and energy demand for the mentioned convertion process of plastics. The converted amount of plastics is NOT included into the dataset.
extrusion, plastic film;RER;plastics;processing;kg;Technosphere;513,87000 ;0,51000 ;This process contains the auxillaries and energy demand for the mentioned convertion process of plastics. The converted amount of plastics is NOT included into the dataset.
extrusion, plastic pipes;RER;plastics;processing;kg;Technosphere;388,81000 ;0,36000 ;This process contains the auxillaries and energy demand for the mentioned convertion process of plastics. The converted amount of plastics is NOT included into the dataset.
foaming, expanding;RER;plastics;processing;kg;Technosphere;884,01000 ;0,68000 ;This process contains the auxillaries and energy demand for the mentioned convertion process of plastics. The converted amount of plastics is NOT included into the dataset.
injection moulding;RER;plastics;processing;kg;Technosphere;1297,80000 ;1,31000 ;This process contains the auxillaries and energy demand for the mentioned convertion process of plastics. The converted amount of plastics is NOT included into the dataset.
packaging film, LDPE, at plant;RER;plastics;processing;kg;Technosphere;2056,00000 ;2,68000 ;"This process contains the plastic amount and the transport of the plastic from the production site to the converting site as well as the dataset ""extrusion, plastic film"""
stretch blow moulding;RER;plastics;processing;kg;Technosphere;1510,10000 ;1,47000 ;This process contains the auxillaries and energy demand for the mentioned convertion process of plastics. The converted amount of plastics is NOT included into the dataset.
thermoforming, with calendering;RER;plastics;processing;kg;Technosphere;792,76000 ;0,77000 ;This process contains the auxillaries and energy demand for the mentioned convertion process of plastics. The converted amount of plastics is NOT included into the dataset.
auxiliary heating, electric, 5kW, at plant;CH;solar collector systems;production of components;unit;Technosphere;15762,00000 ;;Production and disposal of an electric heating. Including materials and energy use of production. Not including infrastructure for factory.
evacuated tube collector, at plant;GB;solar collector systems;production of components;m²;Technosphere;258240,00000 ;;Production of an evacuated tube collector in Northern-Ireland. Including materials and energy use of production. Disposal in CH.
expansion vessel 25l, at plant;CH;solar collector systems;production of components;unit;Technosphere;24855,00000 ;;Production and disposal of an expansion vessel. Including materials and energy use of production. Not including infrastructure for factory.
expansion vessel 80l, at plant;CH;solar collector systems;production of components;unit;Technosphere;60169,00000 ;;Production and disposal of an expansion vessel. Including materials and energy use of production. Not including infrastructure for factory.
flat plate collector, at plant;CH;solar collector systems;production of components;m²;Technosphere;283840,00000 ;;Production and disposal of a flat plate collector in Switzerland. Including materials, water and energy use of production.
heat storage 2000l, at plant;CH;solar collector systems;production of components;unit;Technosphere;1444700,00000 ;;Production and disposal of a heat storage. Including materials and energy use of production.
hot water tank 600l, at plant;CH;solar collector systems;production of components;unit;Technosphere;1187900,00000 ;;Production and disposal of a hot water tank. Including materials and energy use of production.
hot water tank factory;CH;solar collector systems;production of components;unit;Technosphere;979710000,00000 ;;Building, land occupation and transformation of a factory for hot water tanks and storages. Not including machinery.
pump 40W, at plant;CH;solar collector systems;production of components;unit;Technosphere;25902,00000 ;;Production and disposal of a water pump. Including materials. Not including energy use of production and infrastructure for factory.
solar collector factory;RER;solar collector systems;production of components;unit;Technosphere;4803000000,00000 ;;Building, land occupation and transformation of a factory for flat plate collectors. Not including machinery.
heat, at flat plate collector, multiple dwelling, for hot water;CH;solar collector systems;systems;MJ;Technosphere;8,68420 ;;Delivery of heat with a solar system including maintenance and electricity use for operation. Excluding the necessary auxiliary heating.
heat, at flat plate collector, one-family house, for combined system;CH;solar collector systems;systems;MJ;Technosphere;19,83600 ;;Delivery of heat with a solar system including maintenance and electricity use for operation. Excluding the necessary auxiliary heating.
heat, at flat plate collector, one-family house, for hot water;CH;solar collector systems;systems;MJ;Technosphere;25,36700 ;;Delivery of heat with a solar system including maintenance and electricity use for operation. Excluding the necessary auxiliary heating.
heat, at hot water tank, solar+electric, flat plate, multiple dwelling;CH;solar collector systems;systems;MJ;Technosphere;109,45000 ;0,03000 ;Delivery of heat with a solar system including the necessary auxiliary heating, maintenance and electricity use for operation.
heat, at hot water tank, solar+gas, flat plate, multiple dwelling;CH;solar collector systems;systems;MJ;Technosphere;31,60200 ;0,06000 ;Delivery of heat with a solar system including the necessary auxiliary heating, maintenance and electricity use for operation.
heat, at hot water tank, solar+gas, flat plate, one-family house;CH;solar collector systems;systems;MJ;Technosphere;31,04300 ;0,03000 ;Delivery of heat with a solar system including the necessary auxiliary heating, maintenance and electricity use for operation.
heat, at solar+gas heating, flat plate, one-family house, combined system;CH;solar collector systems;systems;MJ;Technosphere;33,00100 ;0,05000 ;Delivery of heat with a solar system including the necessary auxiliary heating, maintenance and electricity use for operation.
heat, at solar+gas heating, tube collector, one-family house, combined system;CH;solar collector systems;systems;MJ;Technosphere;32,36900 ;0,05000 ;Delivery of heat with a solar system including the necessary auxiliary heating, maintenance and electricity use for operation.
heat, at solar+wood heating, flat plate, one-family house, combined system;CH;solar collector systems;systems;MJ;Technosphere;34,86200 ;;Delivery of heat with a solar system including the necessary auxiliary heating, maintenance and electricity use for operation.
heat, at tube collector, one-family house, for combined system;CH;solar collector systems;systems;MJ;Technosphere;17,85700 ;;Delivery of heat with a solar system including maintenance and electricity use for operation. Excluding the necessary auxiliary heating.
solar system with evacuated tube collector, one-family house, combined system;CH;solar collector systems;systems;unit;Technosphere;5593000,00000 ;;Production and disposal of a complete solar system (excluding auxiliary heating). Including different components, heat exchange fluid, installation copper pipes, transports of parts to CH, delivery with a van and montage on the roof.
solar system, flat plate collector, multiple dwelling, hot water;CH;solar collector systems;systems;unit;Technosphere;26416000,00000 ;;Production and disposal of a complete solar system (excluding auxiliary heating). Including different components, heat exchange fluid, installation copper pipes, transports of parts to CH, delivery with a van and montage on the roof.
solar system, flat plate collector, one-family house, combined system;CH;solar collector systems;systems;unit;Technosphere;6456100,00000 ;;Production and disposal of a complete solar system (excluding auxiliary heating). Including different components, heat exchange fluid, installation copper pipes, transports of parts to CH, delivery with a van and montage on the roof.
solar system, flat plate collector, one-family house, hot water;CH;solar collector systems;systems;unit;Technosphere;3032300,00000 ;;Production and disposal of a complete solar system (excluding auxiliary heating). Including different components, heat exchange fluid, installation copper pipes, transports of parts to CH, delivery with a van and montage on the roof.
airport;RER;transport systems;airplane;unit;Technosphere;1214300000000,00000 ;;The inventory includes material consumption and energy expenditures related with the construction sealed area (aircraft parking, runways, etc...) at airports. In addition, expenditures for buildings are considered. The latter include expenditures due to refurbishment and demolition.
disposal, airport;RER;transport systems;airplane;unit;Technosphere;822230000,00000 ;;The inventory includes the disposal of contaminated gravel. Transport from the airport to disposal and disposal are accounted for. The disposal of buildings are not accounted for, but included in the module 'airport'.
helicopter;GLO;transport systems;airplane;unit;Technosphere;5782700,00000 ;;This dataset describes the material required for a helicopter.
operation, aircraft, freight;RER;transport systems;airplane;tkm;Technosphere;773,26000 ;1,07000 ;The invetory includes consumption of kerosene and direct emissions to air (gaseous emissions, particulate emissions, emissions of heavy metals)
operation, aircraft, freight, Europe;RER;transport systems;airplane;tkm;Technosphere;1179,90000 ;1,63000 ;The invetory includes consumption of kerosene and direct emissions to air (gaseous emissions, particulate emissions, emissions of heavy metals)
operation, aircraft, freight, intercontinental;RER;transport systems;airplane;tkm;Technosphere;750,14000 ;1,03000 ;The invetory includes consumption of kerosene and direct emissions to air (gaseous emissions, particulate emissions, emissions of heavy metals)
operation, aircraft, passenger;RER;transport systems;airplane;pkm;Technosphere;87,86400 ;0,12000 ;The invetory includes consumption of kerosene and direct emissions to air (gaseous emissions, particulate emissions, emissions of heavy metals)
operation, aircraft, passenger, Europe;RER;transport systems;airplane;pkm;Technosphere;117,99000 ;0,16000 ;The invetory includes consumption of kerosene and direct emissions to air (gaseous emissions, particulate emissions, emissions of heavy metals)
operation, aircraft, passenger, intercontinental;RER;transport systems;airplane;pkm;Technosphere;75,01400 ;0,10000 ;The invetory includes consumption of kerosene and direct emissions to air (gaseous emissions, particulate emissions, emissions of heavy metals)
operation, maintenance, airport;RER;transport systems;airplane;unit;Technosphere;114910000000,00000 ;88397000,00000 ;The inventory includes energy expenditures and airport energy infrastructure. Transport services on airport site are included.  The use and emissions of de-icing materials are taken into account. Also land transformation and occupation are accounted for.
transport, aircraft, freight;RER;transport systems;airplane;tkm;Technosphere;786,04000 ;1,07000 ;The module calls the modules addressing: operation of aircraft, production of aircraft, construction and land use of airport, operation, maintenance and disposal of airport.
transport, aircraft, freight, Europe;RER;transport systems;airplane;tkm;Technosphere;1185,50000 ;1,63000 ;The module calls the modules addressing: operation of aircraft, production of aircraft, construction and land use of airport, operation, maintenance and disposal of airport.
transport, aircraft, freight, intercontinental;RER;transport systems;airplane;tkm;Technosphere;762,63000 ;1,04000 ;The module calls the modules addressing: operation of aircraft, production of aircraft, construction and land use of airport, operation, maintenance and disposal of airport.
transport, aircraft, passenger;RER;transport systems;airplane;pkm;Technosphere;90,25800 ;0,12000 ;The module calls the modules addressing: operation of aircraft, production of aircraft, construction and land use of airport, operation, maintenance and disposal of airport.
transport, aircraft, passenger, Europe;RER;transport systems;airplane;pkm;Technosphere;118,93000 ;0,16000 ;The module calls the modules addressing: operation of aircraft, production of aircraft, construction and land use of airport, operation, maintenance and disposal of airport.
transport, aircraft, passenger, intercontinental;RER;transport systems;airplane;pkm;Technosphere;77,41200 ;0,10000 ;The module calls the modules addressing: operation of aircraft, production of aircraft, construction and land use of airport, operation, maintenance and disposal of airport.
transport, helicopter;GLO;transport systems;airplane;h;Technosphere;55224,00000 ;94,29000 ;This dataset describes the energy requirements and emissions of one hour helicopter flight.
transport, helicopter, LTO cycle;GLO;transport systems;airplane;unit;Technosphere;93493,00000 ;161,16000 ;This dataset describes the energy requirements and emissions of a Landing-and-Take-Over (LTO) Cycle of a helicopter.
disposal, lorry 16t;CH;transport systems;road;unit;Technosphere;550190,00000 ;;The inventory includes disposal processes for bulk materials. For the disposal of tyres a cut off allocation is applied. However, the transportation of tyres to the cement works is taken into account
disposal, lorry 28t;CH;transport systems;road;unit;Technosphere;890280,00000 ;;The inventory includes disposal processes for bulk materials. For the disposal of tyres a cut off allocation is applied. However, the transportation of tyres to the cement works is taken into account
disposal, lorry 40t;CH;transport systems;road;unit;Technosphere;1356200,00000 ;;The inventory includes disposal processes for bulk materials. For the disposal of tyres a cut off allocation is applied. However, the transportation of tyres to the cement works is taken into account
disposal, passenger car;RER;transport systems;road;unit;Technosphere;303510,00000 ;;The inventory includes disposal processes for bulk materials. For the disposal of tyres a cut off allocation is applied. However, the transportation of tyres to the cement works is taken into account
disposal, road;RER;transport systems;road;ma;Technosphere;123,68000 ;;This module merely contains the excavation and transport activities of road excavation. 
lorry 16t;RER;transport systems;road;unit;Technosphere;29733000,00000 ;;The inventory includes  processes of  material, energy and water use in vehicle manufacturing (final assembly, engine production and manufacturing of metal parts). Rail and road transport of materials is accounted for. Plant infrastructure is included, addressing issues such as land use, building, road and parking construction. 
lorry 28t;RER;transport systems;road;unit;Technosphere;44451000,00000 ;;The inventory includes  processes of  material, energy and water use in vehicle manufacturing (final assembly, engine production and manufacturing of metal parts). Rail and road transport of materials is accounted for. Plant infrastructure is included, addressing issues such as land use, building, road and parking construction. 
lorry 40t;RER;transport systems;road;unit;Technosphere;63333000,00000 ;;The inventory includes  processes of  material, energy and water use in vehicle manufacturing (final assembly, engine production and manufacturing of metal parts). Rail and road transport of materials is accounted for. Plant infrastructure is included, addressing issues such as land use, building, road and parking construction. 
maintenance, lorry 16t;CH;transport systems;road;unit;Technosphere;12084000,00000 ;;The inventory includes materials used for alteration parts and energy consumption of garages. Rail and road transport of materials is accounted for
maintenance, lorry 28t;CH;transport systems;road;unit;Technosphere;15923000,00000 ;;The inventory includes materials used for alteration parts and energy consumption of garages. Rail and road transport of materials is accounted for
maintenance, lorry 40t;CH;transport systems;road;unit;Technosphere;22099000,00000 ;;The inventory includes materials used for alteration parts and energy consumption of garages. Rail and road transport of materials is accounted for
maintenance, passenger car;RER;transport systems;road;unit;Technosphere;922330,00000 ;;The inventory includes materials used for alteration parts and energy consumption of garages. Rail and road transport of materials is accounted for
maintenance, van < 3.5t;RER;transport systems;road;unit;Technosphere;6256400,00000 ;;The inventory includes materials used for alteration parts and energy consumption of garages. Rail and road transport of materials is accounted for
operation, lorry 3.5-16t, fleet average;RER;transport systems;road;vkm;Technosphere;461,18000 ;0,63000 ;Fuel consumption is included. Direct airborne emissions of gaseous substances, particulate matters and heavy metals are accounted for. Particulate emissions comprise exhaust- and abrasions emissions.  Heavy metal emissions to soil and water caused by tyre
operation, lorry 3.5-20t, fleet average;CH;transport systems;road;vkm;Technosphere;714,62000 ;0,68000 ;Fuel consumption is included. Direct airborne emissions of gaseous substances, particulate matters and heavy metals are accounted for. Particulate emissions comprise exhaust- and abrasions emissions.  Heavy metal emissions to soil and water caused by tyre abrision are included as well.
operation, lorry 3.5-20t, empty, fleet average;CH;transport systems;road;vkm;Technosphere;628,62000 ;0,59000 ;Fuel consumption is included. Direct airborne emissions of gaseous substances, particulate matters and heavy metals are accounted for. Particulate emissions comprise exhaust- and abrasions emissions.  Heavy metal emissions to soil and water caused by tyre abrision are included as well.
operation, lorry 3.5-20t, full, fleet average;CH;transport systems;road;vkm;Technosphere;779,77000 ;0,75000 ;Fuel consumption is included. Direct airborne emissions of gaseous substances, particulate matters and heavy metals are accounted for. Particulate emissions comprise exhaust- and abrasions emissions.  Heavy metal emissions to soil and water caused by tyre abrision are included as well.
operation, lorry 20-28t, fleet average;CH;transport systems;road;vkm;Technosphere;931,46000 ;0,92000 ;Fuel consumption is included. Direct airborne emissions of gaseous substances, particulate matters and heavy metals are accounted for. Particulate emissions comprise exhaust- and abrasions emissions.  Heavy metal emissions to soil and water caused by tyre abrision are included as well.
operation, lorry 20-28t, empty, fleet average;CH;transport systems;road;vkm;Technosphere;755,13000 ;0,73000 ;Fuel consumption is included. Direct airborne emissions of gaseous substances, particulate matters and heavy metals are accounted for. Particulate emissions comprise exhaust- and abrasions emissions.  Heavy metal emissions to soil and water caused by tyre abrision are included as well.
operation, lorry 20-28t, full, fleet average;CH;transport systems;road;vkm;Technosphere;1095,00000 ;1,11000 ;Fuel consumption is included. Direct airborne emissions of gaseous substances, particulate matters and heavy metals are accounted for. Particulate emissions comprise exhaust- and abrasions emissions.  Heavy metal emissions to soil and water caused by tyre abrision are included as well.
operation, lorry >16t, fleet average;RER;transport systems;road;vkm;Technosphere;1007,00000 ;0,94000 ;Fuel consumption is included. Direct airborne emissions of gaseous substances, particulate matters and heavy metals are accounted for. Particulate emissions comprise exhaust- and abrasions emissions.  Heavy metal emissions to soil and water caused by tyre
operation, lorry >28t, fleet average;CH;transport systems;road;vkm;Technosphere;1022,90000 ;1,05000 ;Fuel consumption is included. Direct airborne emissions of gaseous substances, particulate matters and heavy metals are accounted for. Particulate emissions comprise exhaust- and abrasions emissions.  Heavy metal emissions to soil and water caused by tyre abrision are included as well.
